Back to information sheet																																																																
FBA_fluxes1	FBA_fluxes2	FBA_fluxes3	FBA_fluxes4	FBA_fluxes5	FBA_fluxes6	FBA_fluxes7	FBA_fluxes8	FBA_fluxes9	FBA_fluxes10	FBA_fluxes11	FBA_fluxes12	FBA_fluxes13	FBA_fluxes14	FBA_fluxes15	FBA_fluxes16	FBA_fluxes17	FBA_fluxes18	FBA_fluxes19	FBA_fluxes20	FBA_fluxes21	FBA_fluxes22	FBA_fluxes23	FBA_fluxes24	FBA_fluxes25	FBA_fluxes26	FBA_fluxes27	FBA_fluxes28	FBA_fluxes29	FBA_fluxes30	FBA_fluxes31	FBA_fluxes32	FBA_fluxes33	FBA_fluxes34	FBA_fluxes35	FBA_fluxes36	FBA_fluxes37	FBA_fluxes38	FBA_fluxes39	FBA_fluxes40	FBA_fluxes41	FBA_fluxes42	FBA_fluxes43	FBA_fluxes44	FBA_fluxes45	FBA_fluxes46	FBA_fluxes47	FBA_fluxes48	FBA_fluxes49	FBA_fluxes50	FBA_fluxes51	FBA_fluxes52	FBA_fluxes53	FBA_fluxes54	FBA_fluxes55	FBA_fluxes56	FBA_fluxes57	FBA_fluxes58	FBA_fluxes59	FBA_fluxes60	FBA_fluxes61	FBA_fluxes62	FBA_fluxes63	FBA_fluxes64	FBA_fluxes65
DM_4CRSOL	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553	0.000154553
DM_5DRIB	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098	0.000162098
DM_AACALD																																																																
DM_AMOB	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.39E-06
DM_MTHTHF	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705	0.000929705
DM_OXAM	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06
Ec_biomass_iJO1366_WT_53p95M	0.693063255	0.693063255	0.693063333	0.693063333	0.693063255	0.693063255	0.693063333	0.693063333	0.693063255	0.693063255	0.693063333	0.693063333	0.693063255	0.693063255	0.693063333	0.693063333	0.693063255	0.693063255	0.693063333	0.693063333	0.693063255	0.693063255	0.693063333	0.693063333	0.693063255	0.693063255	0.693063333	0.693063333	0.693063255	0.693063255	0.693063333	0.693063333	0.693063255	0.693063255	0.693063333	0.693063333	0.693063255	0.693063255	0.693063333	0.693063333	0.693063255	0.693063255	0.693063333	0.693063333	0.693063255	0.693063255	0.693063333	0.693063333	0.693063255	0.693063255	0.693063333	0.693063333	0.693063255	0.693063255	0.693063333	0.693063333	0.693063255	0.693063255	0.693063333	0.693063333	0.693063255	0.693063255	0.693063333	0.693063333
Ec_biomass_iJO1366_core_53p95M																																																																
DM_12ppd-R_e	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06
DM_12ppd-S_e	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06
