Reaction	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Run 11	Run 12	Run 13	Run 14	Run 15	Run 16	Run 17	Run 18	Run 19	Run 20	Run 21	Run 22	Run 23	Run 24	Run 25	Run 26	Run 27	Run 28	Run 29	Run 30	Run 31	Run 32	Run 33	Run 34	Run 35	Run 36	Run 37	Run 38	Run 39	Run 40	Run 41	Run 42	Run 43	Run 44	Run 45	Run 46	Run 47	Run 48	Run 49	Run 50	Run 51	Run 52	Run 53	Run 54	Run 55	Run 56	Run 57	Run 58	Run 59	Run 60	Run 61	Run 62	Run 63	Run 64
DM_4CRSOL	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446	0.000167761094527	0.000167761094527	0.000167761111446	0.000167761111446
DM_5DRIB	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283	0.000175779429757	0.000175779429757	0.000175779447283	0.000175779447283
DM_AACALD																																																																
DM_AMOB	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06	1.50E-06
DM_MTHTHF	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637	0.00100907115097	0.00100907115097	0.001009071252637	0.001009071252637
DM_OXAM	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06
Ec_biomass_iJO1366_WT_53p95M	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738	0.752291903708994	0.752291903708994	0.752291979578738	0.752291979578738
Ec_biomass_iJO1366_core_53p95M																																																																
DM_12ppd-R_e	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06	2.00E-06
DM_12ppd-S_e	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06	1.00E-06
