FBA nomenclature	TFA nomenclature	Reaction
DM_4CRSOL	NF_DM_4CRSOL	4crsol_c  -> 
DM_5DRIB	NF_DM_5DRIB	5drib_c  -> 
DM_AACALD	NF_DM_AACALD	aacald_c  -> 
DM_AMOB	NF_DM_AMOB	amob_c  -> 
DM_MTHTHF	NF_DM_MTHTHF	mththf_c  -> 
DM_OXAM	NF_DM_OXAM	oxam_c  -> 
Ec_biomass_iJO1366_WT_53p95M	NF_Ec_biomass_iJO1366_WT_53p95M	0.000223 10fthf_c + 0.000223 2dmmql8_c + 2.5e-05 2fe2s_c + 0.000248 4fe4s_c + 0.000223 5mthf_c + 0.000279 accoa_c + 0.000223 adocbl_c + 0.499149 ala-L_c + 0.000223 amet_c + 0.28742 arg-L_c + 0.234232 asn-L_c + 0.234232 asp-L_c + 54.12 atp_c + 0.000116 bmocogdp_c + 2e-06 btn_c + 0.004952 ca2_c + 0.000223 chor_c + 0.004952 cl_c + 0.000168 coa_c + 2.4e-05 cobalt2_c + 0.129799 ctp_c + 0.000674 cu2_c + 0.088988 cys-L_c + 0.024805 datp_c + 0.025612 dctp_c + 0.025612 dgtp_c + 0.024805 dttp_c + 0.000223 enter_c + 0.000223 fad_c + 0.006388 fe2_c + 0.007428 fe3_c + 0.255712 gln-L_c + 0.255712 glu-L_c + 0.595297 gly_c + 0.154187 glycogen_c + 0.000223 gthrd_c + 0.209121 gtp_c + 48.7529 h2o_c + 0.000223 hemeO_c + 0.092056 his-L_c + 0.282306 ile-L_c + 0.18569 k_c + 0.437778 leu-L_c + 3e-06 lipopb_c + 0.333448 lys-L_c + 3.1e-05 malcoa_c + 0.149336 met-L_c + 0.008253 mg2_c + 0.000223 mlthf_c + 0.000658 mn2_c + 7e-06 mobd_c + 7e-06 mococdp_c + 7e-06 mocogdp_c + 0.000223 mql8_c + 0.001787 nad_c + 4.5e-05 nadh_c + 0.000112 nadp_c + 0.000335 nadph_c + 0.012379 nh4_c + 0.000307 ni2_c + 0.012366 pe160_c + 0.009618 pe161_c + 0.004957 pe181_c + 0.005707 pg160_c + 0.004439 pg161_c + 0.002288 pg181_c + 0.180021 phe-L_c + 0.000223 pheme_c + 0.214798 pro-L_c + 0.03327 ptrc_c + 0.000223 pydx5p_c + 0.000223 q8h2_c + 0.000223 ribflv_c + 0.209684 ser-L_c + 0.000223 sheme_c + 0.004126 so4_c + 0.006744 spmd_c + 9.8e-05 succoa_c + 0.000223 thf_c + 0.000223 thmpp_c + 0.246506 thr-L_c + 0.055234 trp-L_c + 0.133993 tyr-L_c + 5.5e-05 udcpdp_c + 0.140101 utp_c + 0.411184 val-L_c + 0.000324 zn2_c + 0.008151 colipa_e + 0.002944 clpn160_p + 0.00229 clpn161_p + 0.00118 clpn181_p + 0.001345 murein3p3p_p + 0.000605 murein3px4p_p + 0.005381 murein4p4p_p + 0.005448 murein4px4p_p + 0.000673 murein4px4px4p_p + 0.031798 pe160_p + 0.024732 pe161_p + 0.012747 pe181_p + 0.004892 pg160_p + 0.003805 pg161_p + 0.001961 pg181_p  -> 53.95 adp_c + 53.95 h_c + 53.9459 pi_c + 0.749831 ppi_c 
Ec_biomass_iJO1366_core_53p95M	NF_Ec_biomass_iJO1366_core_53p95M	0.000223 10fthf_c + 2.6e-05 2fe2s_c + 0.000223 2ohph_c + 0.00026 4fe4s_c + 0.513689 ala-L_c + 0.000223 amet_c + 0.295792 arg-L_c + 0.241055 asn-L_c + 0.241055 asp-L_c + 54.1248 atp_c + 0.000122 bmocogdp_c + 2e-06 btn_c + 0.005205 ca2_c + 0.005205 cl_c + 0.000576 coa_c + 2.5e-05 cobalt2_c + 0.133508 ctp_c + 0.000709 cu2_c + 0.09158 cys-L_c + 0.026166 datp_c + 0.027017 dctp_c + 0.027017 dgtp_c + 0.026166 dttp_c + 0.000223 fad_c + 0.006715 fe2_c + 0.007808 fe3_c + 0.26316 gln-L_c + 0.26316 glu-L_c + 0.612638 gly_c + 0.215096 gtp_c + 48.6015 h2o_c + 0.094738 his-L_c + 0.290529 ile-L_c + 0.195193 k_c + 0.450531 leu-L_c + 0.343161 lys-L_c + 0.153686 met-L_c + 0.008675 mg2_c + 0.000223 mlthf_c + 0.000691 mn2_c + 7e-06 mobd_c + 0.001831 nad_c + 0.000447 nadp_c + 0.013013 nh4_c + 0.000323 ni2_c + 0.017868 pe160_c + 0.054154 pe161_c + 0.185265 phe-L_c + 0.000223 pheme_c + 0.221055 pro-L_c + 0.000223 pydx5p_c + 0.000223 ribflv_c + 0.215792 ser-L_c + 0.000223 sheme_c + 0.004338 so4_c + 0.000223 thf_c + 0.000223 thmpp_c + 0.253687 thr-L_c + 0.056843 trp-L_c + 0.137896 tyr-L_c + 5.5e-05 udcpdp_c + 0.144104 utp_c + 0.423162 val-L_c + 0.000341 zn2_c + 0.019456 kdo2lipid4_e + 0.013894 murein5px4p_p + 0.045946 pe160_p + 0.02106 pe161_p  -> 53.95 adp_c + 53.95 h_c + 53.9457 pi_c + 0.773903 ppi_c 
DM_12ppd-R_e	NF_DM_12ppd-R_e	12ppd-R_e  -> 
DM_12ppd-S_e	NF_DM_12ppd-S_e	12ppd-S_e  -> 
